Zip Code,City,City-Zip,County
97201,Goose Hollow,Goose Hollow-97201,Multnomah
97205,Goose Hollow,Goose Hollow-97205,Multnomah
97405,Goshen,Goshen-97405,Lane
97028,Government Camp,Government Camp-97028,Clackamas
97114,Grand Island,Grand Island-97114,Yamhill
97347,Grand Ronde,Grand Ronde-97347,Polk
97877,Granite,Granite-97877,Baker
97212,Grant Park,Grant Park-97212,Multnomah
97526,Grants Pass,Grants Pass-97526,Josephine
97527,Grants Pass,Grants Pass-97527,Josephine
97528,Grants Pass,Grants Pass-97528,Josephine
97543,Grants Pass,Grants Pass-97543,Josephine
97029,Grass Valley,Grass Valley-97029,Sherman
97223,Greenburg,Greenburg-97223,Washington
97877,Greenhorn,Greenhorn-97877,Baker
97430,Greenleaf,Greenleaf-97430,Lane
97116,Greenville,Greenville-97116,Washington
97008,Greenway,Greenway-97008,Washington
97030,Gresham,Gresham-97030,Multnomah
97080,Gresham,Gresham-97080,Multnomah
97080,Gresham Butte,Gresham Butte-97080,Multnomah
97007,Groners Corner,Groners Corner-97007,Washington
97123,Groners Corner,Groners Corner-97123,Washington
97833,Haines,Haines-97833,Baker
97009,Haley,Haley-97009,Clackamas
97834,Halfway,Halfway-97834,Baker
97348,Halsey,Halsey-97348,Linn
97121,Hammond,Hammond-97121,Clatsop
97009,Happy Valley,Happy Valley-97009,Clackamas
97015,Happy Valley,Happy Valley-97015,Clackamas
97086,Happy Valley,Happy Valley-97086,Clackamas
97236,Happy Valley,Happy Valley-97236,Multnomah
97266,Happy Valley,Happy Valley-97266,Multnomah
97415,Harbor,Harbor-97415,Curry
97231,Harborton,Harborton-97231,Multnomah
97343,Harlan,Harlan-97343,Lincoln
97015,Harmony,Harmony-97015,Clackamas
97266,Harmony Point,Harmony Point-97266,Multnomah
97906,Harper,Harper-97906,Malheur
97446,Harrisburg,Harrisburg-97446,Linn
97217,Hayden Island,Hayden Island-97217,Multnomah
97221,Hayhurst,Hayhurst-97221,Multnomah
97007,Hazeldale,Hazeldale-97007,Washington
97068,Hazelia,Hazelia-97068,Clackamas
97230,Hazelwood,Hazelwood-97230,Multnomah
97201,Healy Heights,Healy Heights-97201,Multnomah
97122,Hebo,Hebo-97122,Tillamook
97835,Helix,Helix-97835,Umatilla
97124,Helvetia,Helvetia-97124,Washington
97492,Hemlock,Hemlock-97492,Lane
97045,Henrici,Henrici-97045,Clackamas
97836,Heppner,Heppner-97836,Morrow
97837,Hereford,Hereford-97837,Baker
97038,Hermans,Hermans-97038,Clackamas
97838,Hermiston,Hermiston-97838,Umatilla
97068,Hidden Springs,Hidden Springs-97068,Clackamas
97003,Hillsboro,Hillsboro-97003,Washington
97006,Hillsboro,Hillsboro-97006,Washington
97123,Hillsboro,Hillsboro-97123,Washington
97124,Hillsboro,Hillsboro-97124,Washington
97129,Hillsboro,Hillsboro-97129,Washington
97201,Hillsdale,Hillsdale-97201,Multnomah
97210,Hillside,Hillside-97210,Multnomah
97080,Hillsview,Hillsview-97080,Multnomah
